Organization,AUM (USD),Agriculture Focus,Alignment with Saudi Vision 2030,Aquaculture Focus,Category,Check Size Max USD,Check Size Min USD,Co-Investment Potential,Confidence,Contact Name,Decision Maker LinkedIn URL,Decision Maker Name,Decision Maker Title,ESG/Impact Orientation,Email,Event,Follow-up Date,Geographic Focus,Geographic Focus (Enhanced),HQ Country,Impact Evidence URL,Instrument Type,Investment Approach,Investment Areas,Investment Thesis,Investor Type,Last Verified,MENA Experience,Next Action,Notes,Organization LinkedIn URL,Outreach Priority,Phone,Portfolio Examples,Position,Previous Aquaculture Investments,Priority Score,Regions Open to Explore,Research Sources,Saudi Evidence,Saudi Experience,Saudi Focus,Secondary Contact LinkedIn,Secondary Contact Name,Secondary Contact Title,Source,Stage Focus,Stage of Communication,Subsector Focus,Target Sector,Technical Expertise in RAS,Ticket Size,Typical Ticket Size (USD Million),Value-Chain Focus,Website
French Food Capital,,Direct,,Indirect,,,,Medium - French food sector PE; may invest in food processing and value-added operations,,,,,,Yes,,,,"France (primary), Europe food transition investments. Impact-focused agri-food value chain",,France,,,,"Agriculture, Food Processing, Food Systems","ESG/Impact First, Food Security",Private Equity,,No,,"FrenchFood Positive Impact fund. Focus on food transition. Impact business plans with 5-year objectives. Impact value creation integrated into overall value creation. Investments: Difagri, Huilerie GID.",,Warm Lead,,,,Limited - French food-focused PE fund. Portfolio in food processing/distribution; may include seafood processing but no direct aquaculture production,79,,,,No,,,,,Strategic Target,Growth/Buyout,To Be Contacted,,"Food Processing, Food Distribution, Agri-food Value Chain",,$10M - $40M,18,,https://frenchfoodcapital.com/wp-content/uploads/2024/09/Rapport-RSE_2023_eng.pdf
Longreach Maris,,,,Indirect,,,,Medium - Aquaculture/fisheries asset manager; invests in operational seafood assets,,,,,,Yes,,,,"Australia (primary), New Zealand, Asia-Pacific wild-caught seafood quota investments",,Australia,,,,"Aquaculture, Blue Economy, Fisheries",ESG/Impact First,Asset Manager,,No,,Australian asset manager investing into wild-caught seafood industry with environmental sustainability and social resilience focus. Manages portfolio of Individual Transferrable Quotas (ITQs). ESG-aligned capital.,,Warm Lead,,,,"Direct aquaculture focus - UK-based asset manager specializing in aquaculture and blue economy investments. Portfolio likely includes fish farms, aquaculture operations, seafood value chain",76,,,,No,,,,,Strategic Target,Growth/Infrastructure,To Be Contacted,,,,$5M - $30M,15,,https://longreachmaris.com/
Aquila Capital,€6.8 billion,,,Indirect,,,,"Medium - Infrastructure specialist with ESG focus and €6.8B AUM. Sustainable infrastructure mandate aligns with food security. However, limited aquaculture track record and no MENA/Saudi experience. Would need strategic rationale for geographic expansion. Better suited as institutional LP co-investor in later stages rather than early greenfield partner.",,,,,,Yes,,,,"Europe (Germany HQ), global sustainable infrastructure - clean energy, sustainable real assets across 10 asset classes",,Germany,,,,"Climate Tech, Infrastructure, Sustainable Technology","ESG/Impact First, Technology Focus",Asset Manager,,No,,€6.8 billion AuM (Dec 2024). Specializes in sustainable real asset investments. 18+ years investing in decarbonization. Focus on clean energy and sustainable infrastructure. AIFM licensed. 10 asset classes.,,Warm Lead,,,,Limited - Infrastructure asset manager focused on renewables and climate tech. May have indirect exposure via water infrastructure funds,81,,,,No,,,,,Strategic Target,Infrastructure/Growth,To Be Contacted,,"Renewable Energy, Sustainable Infrastructure",,$20M - $100M,40,,https://www.aquila-capital.de/en/real-assets/infrastructure/aquila-infrastructure-strategy
Groupama Asset Management,,Direct,,Indirect,,,,"Medium - Agricultural insurance mutual with Groupama Agro Solution Debt Fund for agri-food environmental transformations. Private debt focus could complement equity structure. Direct agriculture experience valuable. However, insurance investor profile suggests conservative approach, no aquaculture exposure, and preference for established operations over greenfield projects.",,,,,,No,,,,"France (primary), Europe (10 countries), agricultural insurance and agri-food debt financing",,France,,Private Debt,,"Agriculture, Infrastructure, Sustainable Technology",,Insurance Investor,,No,,Agricultural insurance mutual with operations in 10 countries. Launched Groupama Agro Solution Debt Fund for environmental transformations in agricultural and agri-food sector. Private debt focus.,,Warm Lead,,,,Limited - French insurance asset manager. Infrastructure/agriculture allocations may include indirect aquaculture exposure,77,,,,No,,,,,Strategic Target,Growth/Expansion,To Be Contacted,,"Agriculture, Agri-food Transformation",,$10M - $50M,20,,
responsAbility Investments,,Indirect,,Indirect,,,,High - Impact investor with 30 years experience providing capital where scarce. Strong ESG mandate and food security focus aligns perfectly with Al-Birk's impact profile. Comfortable with emerging markets and development contexts. Likely to value food security narrative and Vision 2030 alignment. Could provide concessional capital or blended finance structures to enhance returns for commercial co-investors.,,,,,,Yes,,,,"Global emerging markets - Latin America, Africa, Asia. Impact investing where capital is scarce, three decades experience",,Switzerland,,,,"Agriculture, Climate Tech, Food Security, Sustainable Technology","ESG/Impact First, Food Security",Impact Investment Fund,,No,,Impact investing for sustainable world. Three decades in impact investing space. Focus on providing capital where scarce. Strong ESG performance and impact reporting.,,Hot Lead,,,,Possible - Swiss impact investor focused on sustainable agriculture in emerging markets. May have financed aquaculture as sustainable protein but details not public,86,,,,No,,,,,Strategic Target,Growth/Expansion,To Be Contacted,,,,$5M - $25M,12,,https://www.responsability.com/
S2G Ventures,,,,Direct,,,,High - Walton family-backed VC with proven aquaculture investment (led Aquaconnect Pre-Series B). Preparing second fund specifically for direct aquaculture investments. Strong food systems and aquaculture technology focus. Early/growth stage investor comfortable with innovation. Smaller ticket sizes ($3M-$15M) ideal for co-investment structure. No MENA experience but food security mandate could drive interest in Saudi Vision 2030 alignment.,,,,,,Yes,,,,"Global - US-based (Walton family), investments across Americas, Asia (Aquaconnect India), emerging markets food systems",,India,,,,"AgTech, Agriculture, Aquaculture, Food Systems","Food Security, Technology Focus",Venture Capital,,No,,Walton family-backed fund. Led Aquaconnect's $4M Pre-Series B round. Preparing second fund for direct aquaculture investments. Focus on sustainable food systems and aquaculture technology.,,Hot Lead,,,,Aquaconnect Pre-Series B lead,90,,,,No,,,,,Strategic Target,Early/Growth Stage,To Be Contacted,,,,$3M - $15M,8,,
Hamburger Pensionskasse (HPK),,Direct,,Indirect,,,,"Medium - German pension fund with development finance orientation (anchored IFAD's €65M agricultural development fundraising). Focus on small farmers in developing countries and ESG infrastructure. Food security and rural development mandate aligns. However, typical focus on smallholder support rather than large-scale commercial aquaculture. May view RAS as too capital-intensive vs. smallholder empowerment. Better fit if project includes outgrower/community benefit components.",,,,,,Yes,,,,"Germany (primary), global agricultural development - anchored IFAD €65M for smallholder farmers in developing countries",,Germany,,,,"Agriculture, Infrastructure, Sustainable Technology",ESG/Impact First,Pension Fund,,No,,German pension fund. Anchored IFAD's €65M fundraising for agricultural development. Focus on supporting small farmers in rural areas in developing countries. ESG-oriented infrastructure investor.,,Warm Lead,,,,Limited - German pension fund. May have indirect exposure via infrastructure or agriculture allocations but no direct aquaculture investments,79,,,,No,,,,,Strategic Target,Infrastructure/Development,To Be Contacted,,,,$10M - $50M,20,,
Bpifrance,,Direct,,Indirect,,,,Medium - French public development bank; provides debt and equity for strategic sectors,,,,,,Yes,,,,"France (primary), French territories, supporting French business development and innovation including maritime/aquaculture sector",,France,,,,"AgTech, Agriculture, Infrastructure, Sustainable Technology",,Development Finance/Public Bank,,No,,"French public investment bank. Dedicated to financing and supporting business development. Range of solutions: innovation loans, repayable advances, grants, capital investments. Acceleration programs including aquaculture/maritime sector.",,Warm Lead,,,,Possible - French public bank backing innovation and sustainable agriculture/infrastructure. May have financed RAS/aquatech but details not public,85,,,,No,,,,,Strategic Target,Seed to Growth,To Be Contacted,,"Innovation, Sustainable Agriculture, AgTech",,$5M - $50M,15,,https://www.bpifrance.fr/catalogue-offres/accelerateur-industriels-de-la-mer-2eme-promotion
Rātā Foundation,,Indirect,,Indirect,,,,Low - New Zealand foundation with sustainable agriculture focus; limited information on co-investment capacity,,,,,,Yes,,,,"New Zealand (primary), domestic impact investments for equitable and sustainable society",,New Zealand,,,,"Agriculture, Food Systems, Sustainable Technology",ESG/Impact First,Foundation/Impact Investor,,No,,NZ impact investor focused on equitable and sustainable society. Invests to maximize long-term community impact. Responsible investing with positive impact on people and planet. Exclusions policy.,,Warm Lead,,,,Possible - New Zealand environmental foundation backing sustainable food/agriculture. May have supported aquaculture projects as sustainable protein; details not public,79,,,,No,,,,,Strategic Target,Impact/Growth,To Be Contacted,,,,$5M - $25M,10,,https://ratainvest.org.nz/
Louis Dreyfus Company Ventures,,Direct,,Indirect,,,,Medium - Louis Dreyfus CVC; may invest in agtech/aqua-tech complementary to trading operations,,,,,,No,,,,"Global - France HQ, agricultural value chain innovation across Americas, Europe, Asia-Pacific via LDC network",,France,,,,"AgTech, Agriculture, Aquaculture, Food Systems","Food Security, Technology Focus",Corporate Venture Capital,,No,,VC arm of global merchant and processor of agricultural goods. Invested in Aquaconnect Series A. Focus on agricultural value chain innovation and food systems technology.,,Hot Lead,,,,Aquaconnect (India),87,,,,No,,,,,Strategic Target,Early/Growth Stage,To Be Contacted,,,,$5M - $20M,10,,
R+V Versicherung,,,,Indirect,,,,"Low - German insurance investor; conservative approach, prefers established assets",,,,,,Yes,,,,"Germany (primary), Europe sustainable investments via cooperative insurance model",,Germany,,,,"Agriculture, Infrastructure, Sustainable Technology",ESG/Impact First,Insurance Investor,,No,,German insurance company with strong sustainability focus. Cooperative insurance model. Sustainable capital investment strategy. Focus on environmental protection and climate-smart investments.,,Warm Lead,,,,Limited - German cooperative insurance company. May have indirect exposure via infrastructure or agriculture allocations but no direct aquaculture track record,76,,,,No,,,,,Strategic Target,Infrastructure/Institutional,To Be Contacted,,,,$20M - $100M,30,,
China-Africa Development Fund,,Direct,Medium - Belt & Road connectivity,Indirect,,,,Medium - China-Africa development fund; provides financing for infrastructure projects in Africa,,,,,,No,,,,"Africa (primary via FOCAC), Belt & Road Initiative. China training 10,000 African experts in agriculture/aquaculture",,China,,,,"Agriculture, Aquaculture, Infrastructure",,Development Finance/Sovereign Fund,,Yes,,"Administered by FOCAC (Forum on China Africa Cooperation). Low-interest loans channeled to Africa. China training 10,000 African experts in agriculture and aquaculture. Belt & Road Initiative focus.",,Warm Lead,,,,Likely - China-Africa development fund financing agriculture/infrastructure. Africa has growing aquaculture; likely financed tilapia projects across multiple countries,78,,,,No,,,,,Strategic Target,Infrastructure/Development,To Be Contacted,,"Agriculture, Infrastructure (China-Africa development)",,$20M - $150M,50,,
Vinci Partners,,Direct,,Indirect,,,,Low - Brazilian PE/asset manager focused on local markets; limited international co-investment,,,,,,No,,,,"Brazil (primary), Latin America infrastructure, credit, private equity. Strong agribusiness presence across region",,Brazil,,,,"Agriculture, Food Systems, Infrastructure",,Private Equity/Asset Manager,,No,,"Leading Brazilian alternative investment platform. Focus on infrastructure, credit, private equity. Strong presence in agribusiness and food systems investments across Latin America.",,Warm Lead,,,,Possible - Brazilian PE/asset manager with infrastructure and natural resources focus. Brazil has significant aquaculture; may have exposure but details not public,80,,,,No,,,,,Strategic Target,Growth/Buyout,To Be Contacted,,,,$20M - $100M,35,,
Lok Capital,,Direct,,Indirect,,,,Low - Impact PE focused on India; may not align with large-scale commercial aquaculture,,,,,,Yes,,,,"India (primary), South Asia impact investing - agriculture, aquaculture, financial inclusion, livelihoods",,India,,,,"Agriculture, Aquaculture, Food Systems","ESG/Impact First, Food Security",Private Equity/Impact Fund,,No,,Led Aquaconnect's $15M Series A round. India-focused impact investor. Active in agriculture and aquaculture value chain investments. Focus on financial inclusion and livelihoods.,,Hot Lead,,,,Aquaconnect Series A lead,88,,,,No,,,,,Strategic Target,Growth/Expansion,To Be Contacted,,,,$5M - $20M,12,,
China Merchants Group,,Indirect,"High - Belt & Road alignment, infrastructure focus",Indirect,,,,"Medium - Chinese state-owned conglomerate with Belt & Road mandate and MENA experience. Large-scale infrastructure investor ($50M-$500M+) with food security and agricultural focus. Saudi Arabia is key Belt & Road partner. However, geopolitical considerations and Saudi preferences for Western/GCC capital may limit attractiveness. Better suited as EPC contractor, equipment supplier, or offtake partner than equity co-investor.",,,,,,No,,,,"China (HQ), Belt & Road regions - MENA, Africa, Asia, Europe. Major overseas infrastructure and agricultural investments",,China,,,,"Agriculture, Food Systems, Infrastructure",,State-Owned Enterprise/Conglomerate,,Yes,,"Major Chinese state-owned conglomerate. Active in infrastructure, finance, real estate. Belt & Road Initiative participant. Focus on overseas infrastructure and agricultural investments.",,Warm Lead,,,,"Possible - Chinese SOE conglomerate with infrastructure/logistics focus. May have aquaculture-related port, cold chain, or food processing investments",81,,,,No,,,,,Strategic Target,Infrastructure/Large-scale,To Be Contacted,,"Infrastructure, Logistics, Agriculture",,$50M - $500M+,100,,
